Timestamp,Buy/sell,Asset,P/L
2024-01-15T09:30:00,Buy,AAPL,45.50
2024-01-15T09:45:00,Sell,TSLA,-23.00
2024-01-15T10:15:00,Buy,MSFT,67.25
2024-01-15T10:30:00,Sell,AAPL,-12.50
2024-01-15T11:00:00,Buy,GOOGL,89.00
2024-01-15T11:20:00,Sell,MSFT,-45.75
2024-01-15T11:45:00,Buy,AMZN,34.20
2024-01-15T12:00:00,Sell,GOOGL,-78.90
2024-01-15T12:30:00,Buy,NVDA,56.80
2024-01-15T13:00:00,Sell,AMZN,-23.40
2024-01-15T13:15:00,Buy,BTC,120.50
2024-01-15T13:30:00,Sell,NVDA,-67.20
2024-01-15T14:00:00,Buy,ETH,45.30
2024-01-15T14:15:00,Sell,BTC,-89.60
2024-01-15T14:45:00,Buy,AAPL,23.40
2024-01-15T15:00:00,Sell,ETH,-34.20
2024-01-16T09:30:00,Buy,TSLA,78.90
2024-01-16T09:50:00,Sell,AAPL,-12.30
2024-01-16T10:15:00,Buy,MSFT,45.60
2024-01-16T10:30:00,Sell,TSLA,-56.70
2024-01-16T11:00:00,Buy,GOOGL,67.80
2024-01-16T11:20:00,Sell,MSFT,-23.40
2024-01-16T11:45:00,Buy,AMZN,34.50
2024-01-16T12:00:00,Sell,GOOGL,-45.60
2024-01-16T12:30:00,Buy,NVDA,56.90
2024-01-16T13:00:00,Sell,AMZN,-67.30
2024-01-16T13:15:00,Buy,BTC,89.40
2024-01-16T13:30:00,Sell,NVDA,-34.20
2024-01-16T14:00:00,Buy,ETH,45.60
2024-01-16T14:15:00,Sell,BTC,-78.50
2024-01-16T14:45:00,Buy,AAPL,23.50
2024-01-16T15:00:00,Sell,ETH,-12.40
